sentence,tokens
The woman is not playing the flute,7
The man is lifting barbells,5
A man is lifting barbells,5
The man is lowering barbells,5
The man is lifting weights,5
Weights are being lifted by the man,7
The man isn't lifting weights,5
A man is chopping down a tree with an axe,10
A person is chopping down a tree with an axe,10
A person is planting a tree,6
A tree is being cut by a man with an axe,11
A man is cutting a tree with an axe,9
A man is watering a tree,6
A girl is applying makeup to her face,8
The girl is applying makeup to her face,8
There is no girl applying makeup to her face,9
A lady is putting on makeup,6
A woman is putting on makeup,6
There is no woman putting on makeup,7
A herd of deer is crossing the street,8
One herd of deer is crossing the street,8
A herd of deer is stopping at the street,9
The herd of caribous is crossing a road quickly,9
The herd of caribous is crossing a road,8
The herd of caribous is not crossing a road,9
A woman is slicing an onion,6
An onion is being sliced by a woman,8
The woman is dicing a carrot,6
The woman is cutting a carrot,6
The woman is not cutting a carrot,7
There is no woman slicing an onion,7
Two men are fighting in a cattle pen,8
Two men are fighting in a pen for cattle,9
Two men are outside a cattle pen,7
Two men are fighting in a cow pasture,8
Two men are fighting in a pasture for cows,9
Nobody is fighting in a cow pasture,7
Two cows are fighting in a pasture by a man,10
A woman is putting cosmetics on her eyelid,8
A woman is applying cosmetics to her eyelid,8
A woman is removing cosmetics from her eyelid,8
A woman is penciling on eyeshadow,6
There is no woman penciling on eyeshadow,7
A man is eating a banana,6
A banana is being eaten by a man,8
The man is absently eating a banana by a tree,10
The man is eating a banana by a tree,9
The man is not eating a banana by a tree,10
There is no man eating a banana,7
A big green ball is knocking a potato,8
A ball which is green and big is knocking a potato,11
A big green ball is missing a potato,8
A big potato is knocking a green ball,8
A large green ball is hitting a potato,8
A large green colored ball is hitting a potato,9
A large green ball is missing a potato,8
Different teams are playing football on the field,8
Different teams are playing football on a field,8
Different teams are resting on a field,7
Different football players are teaming on a field,8
Two teams are enthusiastically playing soccer,6
Two teams are playing soccer,5
There is no team playing soccer,6
A boy is playing a keyboard,6
A boy is practicing the keyboard,6
There is no boy playing a keyboard,7
A boy is comfortably sitting in a room and playing a piano by a lamp,15
A boy is sitting in a room and playing a piano by lamp light,14
A boy is standing in a room by a lamp light,11
A man is laying down a guitar,7
A woman is playing an electric guitar,7
A woman is playing a guitar which is electric,9
There is no woman playing an electric guitar,8
A guitar is being played by a man,8
A man in a suit is standing at a microphone and singing,12
The man in a suit is standing at a microphone and singing,12
There is no man in a suit standing at a microphone and singing,13
The man on stage is passionately singing into the microphone,10
The man on stage is singing into the microphone,9
The man on stage isn't singing into the microphone,9
The man is staging a microphone and is singing,9
Some teenage girls are dancing for the camera,8
Some girls in their teens are dancing for the camera,10
Some teenage girls are standing still in front of the camera,11
Three teenage girls are dancing in the room,8
Three young girls are dancing in the room,8
Three teenage girls are idling in the room,8
A few children are jumping on a trampoline,8
Some children are jumping on a trampoline,7
Some children are jumping off a trampoline,7
Two boy are playing on a trampoline,7
Some boys are playing on a trampoline,7
Nobody is playing on a trampoline,6
The dog is not playing with a plastic container,9
The dog is playing with a plastic container,8
The puppy is playing with a plastic container,8
The puppy is playing with a container made of plastic,10
The puppy is not playing with a plastic container,9
A man is athletically jumping a wall,7
A man is jumping a wall,6
A man is standing in front of a wall,9
A man is jumping onto a wall which is low,10
A man is jumping onto a low wall,8
A man is jumping off a low wall,8
The man is pouring oil into a pan,8
A man is pouring oil into a pan,8
There is no man pouring oil into a pan,9
A man is pouring oil into a skillet,8
Oil is being poured into a skillet by a man,10
A man is taking the oil out off a skillet,10
A woman is driving a car and is animatedly talking to the man who is seated beside her,18
A woman is driving a car and is talking to the man who is seated beside her,17
There is no woman driving a car and talking to the man seated beside her,15
A man is talking to the woman who is seated beside him and is driving a car,17
The woman and the man are travelling by car,9
The woman and the man are travelling by automobile,9
The woman and the man are not travelling by car,10
The person is brushing a cat,6
A person is brushing a cat,6
Nobody is brushing a cat,5
A person is combing the fur of a cat,9
The fur of a cat is being combed by a person,11
A person is ruffling the fur of a cat,9
Broccoli is being chopped by a woman,7
A woman is chopping broccoli,5
A woman is storing broccoli,5
The woman is chopping garlic,5
The woman is slicing garlic,5
The woman is not chopping garlic,6
Some women are cheerfully dancing,5
Some women are dancing,4
There is no woman dancing,5
Three men are dancing,4
A few men are dancing,5
The men are not dancing,5
There is no man sitting on the floor and playing a guitar,12
A man is sitting on the floor and is playing a guitar,12
A man is flooring a sitting guitar player,8
The man is sitting on the floor in a room and strumming a guitar,14
A man is sitting on the floor in a room and strumming a guitar,14
The man is pacing around a room,7
One man is eating some food,6
A man is eating some food,6
There is no man eating some food,7
The man is eating,4
The person is eating,4
The man is fasting,4
A woman is carefully applying cosmetics to her eyelid,9
A woman is using a pencil for eyes and is applying eye liner to her eyelid,16
A woman is using an eye pencil and is applying eye liner to her eyelid,15
There is no woman using an eye pencil and applying eye liner to her eyelid,15
The baby is crawling happily,5
A baby is crawling happily,5
A baby is sitting,4
A baby is sneezing and scaring another baby,8
A baby is sneezing and frightening another baby,8
A baby is cheering another baby,6
A monkey is kicking at the gloved hand of a person,11
A monkey is kicking at a person's glove,8
There is no monkey kicking at the gloved hand of a person,12
A gloved person is kicking at the hand of a monkey,11
The monkey is being trained in martial arts,8
The monkey is practicing martial arts,6
The monkey isn't practicing martial arts,6
A man is powerfully kicking a soccer ball,8
A man is kicking a soccer ball,7
A man is missing the soccer ball,7
A man is performing tricks with a soccer ball,9
A man is doing some tricks with a soccer ball,10
A man is running away from the soccer ball,9
A man is cutting a box,6
A box is being cut by a man,8
There is no man cutting a box,7
The man is cutting the tape on the box,9
A man is cutting the tape on the box,9
The man is not cutting the tape on the box,10
A man is taping a cut box,7
A kid is practicing with an instrument,7
A kid is playing an instrument,6
A kid is throwing away an instrument,7
A boy who is young is playing a wind instrument,10
A young boy is playing a wind instrument,8
There is no young boy playing a wind instrument,9
A man is slowly trekking in the woods,8
A man is trekking in the woods,7
A man is sitting in the woods,7
The man is cheerfully hiking in the woods,8
The man is hiking in the woods,7
The man is not hiking in the woods,8
